Relative errors in the analytical Jacobian (top entry)
 vs. finite difference approximation (middle entry)
 are given in the bottom entry.
Highest  9 errors are shown at the bottom of the file.
 
Note that equations are indexed by i and dependent variables by j.
u# 1,2,3 correspond to u,ux,uy.
f# 1,2,3 correspond to fx,fy,s.

    delta u = 1.00E-05


    i    j     fx_u(i,j)      fy_u(i,j)      s_u(i,j)

    8    5    0.00000E+00    0.00000E+00    0.00000E+00
    8    5    0.00000E+00    0.00000E+00    0.00000E+00
    8    5    0.00000E+00    0.00000E+00    0.00000E+00

    8    6    0.00000E+00    0.00000E+00    0.00000E+00
    8    6    0.00000E+00    0.00000E+00    0.00000E+00
    8    6    0.00000E+00    0.00000E+00    0.00000E+00

    8    7    0.00000E+00    0.00000E+00    0.00000E+00
    8    7    0.00000E+00    0.00000E+00    0.00000E+00
    8    7    0.00000E+00    0.00000E+00    0.00000E+00

    8    8    0.00000E+00    0.00000E+00    0.00000E+00
    8    8    0.00000E+00    0.00000E+00    0.00000E+00
    8    8    0.00000E+00    0.00000E+00    0.00000E+00

    8    9    0.00000E+00    0.00000E+00    0.00000E+00
    8    9    0.00000E+00    0.00000E+00    0.00000E+00
    8    9    0.00000E+00    0.00000E+00    0.00000E+00

    8   10    0.00000E+00    0.00000E+00    0.00000E+00
    8   10    0.00000E+00    0.00000E+00    0.00000E+00
    8   10    0.00000E+00    0.00000E+00    0.00000E+00

    9    1    0.00000E+00    0.00000E+00    0.00000E+00
    9    1    0.00000E+00    0.00000E+00    0.00000E+00
    9    1    0.00000E+00    0.00000E+00    0.00000E+00

    9    2    0.00000E+00    0.00000E+00    0.00000E+00
    9    2    0.00000E+00    0.00000E+00    0.00000E+00
    9    2    0.00000E+00    0.00000E+00    0.00000E+00

    9    3    0.00000E+00    0.00000E+00    0.00000E+00
    9    3    0.00000E+00    0.00000E+00    0.00000E+00
    9    3    0.00000E+00    0.00000E+00    0.00000E+00

    9    4    0.00000E+00    0.00000E+00    0.00000E+00
    9    4    0.00000E+00    0.00000E+00    0.00000E+00
    9    4    0.00000E+00    0.00000E+00    0.00000E+00

    9    5    0.00000E+00    0.00000E+00    0.00000E+00
    9    5    0.00000E+00    0.00000E+00    0.00000E+00
    9    5    0.00000E+00    0.00000E+00    0.00000E+00

    9    6    0.00000E+00    0.00000E+00    0.00000E+00
    9    6    0.00000E+00    0.00000E+00    0.00000E+00
    9    6    0.00000E+00    0.00000E+00    0.00000E+00

    9    7    0.00000E+00    0.00000E+00    0.00000E+00
    9    7    0.00000E+00    0.00000E+00    0.00000E+00
    9    7    0.00000E+00    0.00000E+00    0.00000E+00

    9    8    0.00000E+00    0.00000E+00    0.00000E+00
    9    8    0.00000E+00    0.00000E+00    0.00000E+00
    9    8    0.00000E+00    0.00000E+00    0.00000E+00

    9    9    0.00000E+00    0.00000E+00    0.00000E+00
    9    9    0.00000E+00    0.00000E+00    0.00000E+00
    9    9    0.00000E+00    0.00000E+00    0.00000E+00

    9   10    0.00000E+00    0.00000E+00    0.00000E+00
    9   10    0.00000E+00    0.00000E+00    0.00000E+00
    9   10    0.00000E+00    0.00000E+00    0.00000E+00

   10    1    0.00000E+00    0.00000E+00    0.00000E+00
   10    1    0.00000E+00    0.00000E+00    0.00000E+00
   10    1    0.00000E+00    0.00000E+00    0.00000E+00

   10    2    0.00000E+00    0.00000E+00    0.00000E+00
   10    2    0.00000E+00    0.00000E+00    0.00000E+00
   10    2    0.00000E+00    0.00000E+00    0.00000E+00

   10    3    0.00000E+00    0.00000E+00    0.00000E+00
   10    3    0.00000E+00    0.00000E+00    0.00000E+00
   10    3    0.00000E+00    0.00000E+00    0.00000E+00

   10    4    0.00000E+00    0.00000E+00    0.00000E+00
   10    4    0.00000E+00    0.00000E+00    0.00000E+00
   10    4    0.00000E+00    0.00000E+00    0.00000E+00

   10    5    0.00000E+00    0.00000E+00    0.00000E+00
   10    5    0.00000E+00    0.00000E+00    0.00000E+00
   10    5    0.00000E+00    0.00000E+00    0.00000E+00

   10    6    0.00000E+00    0.00000E+00    0.00000E+00
   10    6    0.00000E+00    0.00000E+00    0.00000E+00
   10    6    0.00000E+00    0.00000E+00    0.00000E+00

   10    7    0.00000E+00    0.00000E+00    0.00000E+00
   10    7    0.00000E+00    0.00000E+00    0.00000E+00
   10    7    0.00000E+00    0.00000E+00    0.00000E+00

   10    8    0.00000E+00    0.00000E+00    0.00000E+00
   10    8    0.00000E+00    0.00000E+00    0.00000E+00
   10    8    0.00000E+00    0.00000E+00    0.00000E+00

   10    9    0.00000E+00    0.00000E+00    0.00000E+00
   10    9    0.00000E+00    0.00000E+00    0.00000E+00
